,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,co2
0,2021-01-01,DKI2 (Kelapa Gading),38,58,20,11,65,6,65,O3,1320
1,2021-01-02,DKI2 (Kelapa Gading),29,46,48,12,80,12,80,O3,1440
2,2021-01-03,DKI2 (Kelapa Gading),37,59,48,10,86,13,86,O3,1200
3,2021-01-04,DKI2 (Kelapa Gading),30,49,48,9,77,7,77,O3,1080
4,2021-01-05,DKI2 (Kelapa Gading),35,52,48,8,77,7,77,O3,960
5,2021-01-06,DKI2 (Kelapa Gading),48,60,48,12,85,14,85,O3,1440
6,2021-01-07,DKI2 (Kelapa Gading),35,50,48,9,72,15,72,O3,1080
7,2021-01-08,DKI2 (Kelapa Gading),38,55,48,11,71,9,71,O3,1320
8,2021-01-09,DKI2 (Kelapa Gading),51,67,12,27,80,12,80,O3,3240
9,2021-01-10,DKI2 (Kelapa Gading),24,39,13,10,59,14,59,O3,1200
10,2021-01-11,DKI2 (Kelapa Gading),35,54,13,12,68,13,68,O3,1440
11,2021-01-12,DKI2 (Kelapa Gading),27,51,15,7,77,15,77,O3,840
12,2021-01-13,DKI2 (Kelapa Gading),33,44,13,10,68,7,68,O3,1200
13,2021-01-14,DKI2 (Kelapa Gading),28,49,11,6,65,11,65,O3,720
14,2021-01-15,DKI2 (Kelapa Gading),42,60,11,14,65,12,65,O3,1680
15,2021-01-16,DKI2 (Kelapa Gading),49,71,13,10,67,9,71,PM25,1200
16,2021-01-17,DKI2 (Kelapa Gading),55,75,16,10,93,10,93,O3,1200
17,2021-01-18,DKI2 (Kelapa Gading),35,49,13,5,78,9,78,O3,600
18,2021-01-19,DKI2 (Kelapa Gading),31,42,11,6,58,9,58,O3,720
19,2021-01-20,DKI2 (Kelapa Gading),42,45,11,6,72,6,72,O3,720
20,2021-01-21,DKI2 (Kelapa Gading),46,44,12,9,67,13,67,O3,1080
21,2021-01-22,DKI2 (Kelapa Gading),51,60,12,8,67,16,67,O3,960
22,2021-01-23,DKI2 (Kelapa Gading),73,108,14,43,104,19,108,PM25,5160
23,2021-01-24,DKI2 (Kelapa Gading),51,59,12,9,75,7,75,O3,1080
24,2021-01-25,DKI2 (Kelapa Gading),62,86,14,26,134,14,134,O3,3120
25,2021-01-26,DKI2 (Kelapa Gading),54,76,26,14,71,12,76,PM25,1680
26,2021-01-27,DKI2 (Kelapa Gading),21,29,25,7,63,5,63,O3,840
27,2021-01-28,DKI2 (Kelapa Gading),28,49,25,10,53,7,53,O3,1200
28,2021-01-29,DKI2 (Kelapa Gading),28,49,26,7,65,9,65,O3,840
29,2021-01-30,DKI2 (Kelapa Gading),27,39,25,10,64,8,64,O3,1200
30,2021-01-31,DKI2 (Kelapa Gading),38,55,24,11,68,7,68,O3,1320
31,2021-02-01,DKI2 (Kelapa Gading),64,87,38,16,46,25,87,PM25,1920
32,2021-02-02,DKI2 (Kelapa Gading),30,42,38,4,55,15,55,O3,480
33,2021-02-03,DKI2 (Kelapa Gading),24,35,38,4,42,15,42,O3,480
34,2021-02-04,DKI2 (Kelapa Gading),33,50,39,7,47,15,50,PM25,840
35,2021-02-05,DKI2 (Kelapa Gading),25,35,39,5,45,13,45,O3,600
36,2021-02-06,DKI2 (Kelapa Gading),30,38,37,48,57,9,57,O3,601
37,2021-02-07,DKI2 (Kelapa Gading),28,30,37,48,57,5,57,O3,602
38,2021-02-08,DKI2 (Kelapa Gading),26,31,37,48,54,12,54,O3,603
39,2021-02-09,DKI2 (Kelapa Gading),33,50,39,6,47,16,50,PM25,720
40,2021-02-10,DKI2 (Kelapa Gading),34,46,39,4,49,10,49,O3,480
41,2021-02-11,DKI2 (Kelapa Gading),33,49,43,6,35,11,49,PM25,720
42,2021-02-12,DKI2 (Kelapa Gading),43,62,43,14,33,11,62,PM25,1680
43,2021-02-13,DKI2 (Kelapa Gading),27,47,38,8,40,11,47,PM25,960
44,2021-02-14,DKI2 (Kelapa Gading),34,53,40,11,42,14,53,PM25,1320
45,2021-02-15,DKI2 (Kelapa Gading),36,52,39,13,37,17,52,PM25,1560
46,2021-02-16,DKI2 (Kelapa Gading),28,41,38,11,42,15,42,O3,1320
47,2021-02-17,DKI2 (Kelapa Gading),41,61,40,25,41,27,61,PM25,3000
48,2021-02-18,DKI2 (Kelapa Gading),40,55,44,10,41,16,55,PM25,1200
49,2021-02-19,DKI2 (Kelapa Gading),32,51,42,16,41,20,51,PM25,1920
50,2021-02-20,DKI2 (Kelapa Gading),31,34,38,8,53,9,53,O3,960
51,2021-02-21,DKI2 (Kelapa Gading),36,40,39,9,48,9,48,O3,1080
52,2021-02-22,DKI2 (Kelapa Gading),60,69,42,15,41,19,69,PM25,1800
53,2021-02-23,DKI2 (Kelapa Gading),48,61,40,9,54,17,61,PM25,1080
54,2021-02-24,DKI2 (Kelapa Gading),30,39,40,10,33,10,40,SO2,1200
55,2021-02-25,DKI2 (Kelapa Gading),30,45,43,12,45,12,45,PM25,1440
56,2021-02-26,DKI2 (Kelapa Gading),45,54,43,13,48,19,54,PM25,1560
57,2021-02-27,DKI2 (Kelapa Gading),59,71,44,15,50,20,71,PM25,1800
58,2021-02-28,DKI2 (Kelapa Gading),66,76,40,14,60,18,76,PM25,1680
59,2021-03-01,DKI2 (Kelapa Gading),48,66,45,13,38,18,66,PM25,1560
60,2021-03-02,DKI2 (Kelapa Gading),55,61,50,12,53,21,61,PM25,1440
61,2021-03-03,DKI2 (Kelapa Gading),59,76,46,19,50,30,76,PM25,2280
62,2021-03-04,DKI2 (Kelapa Gading),56,79,45,16,49,28,79,PM25,1920
